series_name,series_id,new_datapoints_added
BRENT@US.Q,51160,1
ECTSA@HI.M,51237,1
ECT@HI.M,51238,1
ECTNS@HI.M,51240,1
EMNSA@HI.M,51241,1
EMN@HI.M,51242,1
EMNNS@HI.M,51244,1
E_TTUSA@HI.M,51245,2
E_TTU@HI.M,51246,2
EWTSA@HI.M,51247,1
EWT@HI.M,51248,1
ERTSA@HI.M,51249,2
ERT@HI.M,51250,2
E_TRADE@HI.M,51251,2
E_TU@HI.M,51252,1
E_TUNS@HI.M,51254,1
EWTNS@HI.M,51256,1
ERTNS@HI.M,51258,2
E_TTU@HAW.M,51259,2
EIFNS@HI.M,51260,2
EIF@HI.M,51261,1
E_FIRSA@HI.M,51263,2
E_FIR@HI.M,51264,2
ERESA@HI.M,51265,2
ERE@HI.M,51266,2
EFI@HI.M,51267,1
EFINS@HI.M,51269,1
ERENS@HI.M,51272,2
EPSSA@HI.M,51273,1
EPS@HI.M,51274,1
EPSNS@HI.M,51276,1
EMA@HI.M,51277,1
EMANS@HI.M,51281,1
E_PBSSA@HI.M,51282,2
E_PBS@HI.M,51283,2
EAD@HI.M,51284,2
EADNS@HI.M,51285,2
EEDSA@HI.M,51286,1
EED@HI.M,51287,1
EEDNS@HI.M,51289,1
EHCSA@HI.M,51290,2
EHC@HI.M,51291,2
EHCNS@HI.M,51293,2
EAESA@HI.M,51294,2
EAE@HI.M,51295,2
EAENS@HI.M,51299,2
EAFSA@HI.M,51300,2
EAF@HI.M,51301,2
EAFACNS@HI.M,51302,2
EAFNS@HI.M,51303,2
EAFAC@HI.M,51304,2
EAFFDNS@HI.M,51306,2
EAFFD@HI.M,51307,2
EOSSA@HI.M,51309,1
EOS@HI.M,51310,1
EOSNS@HI.M,51312,1
EGVFDSA@HI.M,51313,2
EGVFD@HI.M,51314,2
EGVFDNS@HI.M,51316,2
EGVSTSA@HI.M,51317,1
EGVST@HI.M,51318,1
EGVSTNS@HI.M,51320,1
EGVLCSA@HI.M,51321,1
EGVLC@HI.M,51322,1
EGVLCNS@HI.M,51324,1
EGVNS@HI.M,51326,2
E_NFSA@HI.M,51327,2
E_EDHCSA@HI.M,51328,2
E_EDHC@HI.M,51329,2
E_LHSA@HI.M,51330,2
E_LH@HI.M,51331,2
E_NF@HI.M,51332,3
E_NFNS@HI.M,51333,2
E_NFNS@HON.M,51339,2
E_NFNS@HON.Q,51345,1
ECTNS@HON.M,51348,2
ECT@HON.M,51349,2
EMNNS@HON.M,51350,1
EMN@HON.M,51351,1
E_TUNS@HON.M,51352,1
E_TU@HON.M,51353,1
EWTNS@HON.M,51354,1
ERTNS@HON.M,51355,1
E_TTU@HON.M,51356,2
EIFNS@HON.M,51357,2
EFINS@HON.M,51358,2
EFI@HON.M,51359,2
ERENS@HON.M,51360,1
ERE@HON.M,51361,2
E_FIR@HON.M,51362,2
EPSNS@HON.M,51363,2
EMANS@HON.M,51364,1
EADNS@HON.M,51365,2
EEDNS@HON.M,51366,2
EHCNS@HON.M,51367,1
EHC@HON.M,51368,2
E_LHNS@HON.M,51369,2
EAFNS@HON.M,51370,2
EAENS@HON.M,51371,1
EAFACNS@HON.M,51372,2
EAFAC@HON.M,51373,2
EAFFDNS@HON.M,51374,2
EAFFD@HON.M,51375,2
EAF@HON.M,51376,2
EOSNS@HON.M,51377,1
EGVNS@HON.M,51378,2
EGVFDNS@HON.M,51379,2
EGVFD@HON.M,51380,2
EGVSTNS@HON.M,51381,1
EGVST@HON.M,51382,1
EGVLCNS@HON.M,51383,1
EGVLC@HON.M,51384,1
E_GVSL@HON.M,51385,1
EGV@HON.M,51386,2
E_NF@HON.M,51387,2
E_NF@HON.Q,51388,1
E_TTU@KAU.M,51403,2
ECT@MAU.M,51435,1
EMN@MAU.M,51437,1
E_TU@MAU.M,51439,1
EWT@MAU.M,51441,1
ERT@MAU.M,51443,2
E_TRADE@MAU.M,51444,2
E_TTU@MAU.M,51445,2
EIF@MAU.M,51447,2
EFI@MAU.M,51449,1
ERE@MAU.M,51452,2
E_FIR@MAU.M,51453,2
EPS@MAU.M,51455,1
EMA@MAU.M,51459,1
EAD@MAU.M,51460,2
E_PBS@MAU.M,51461,2
EED@MAU.M,51463,1
EHC@MAU.M,51465,2
E_EDHC@MAU.M,51466,2
EAENS@MAU.M,51467,1
EAFAC@MAU.M,51469,2
EAFFD@MAU.M,51471,2
EAF@MAU.M,51472,2
EOS@MAU.M,51474,1
EGVFD@MAU.M,51477,2
EGVST@MAU.M,51479,1
EGVLC@MAU.M,51481,1
E_GVSL@MAU.M,51482,1
EGV@MAU.M,51483,2
E_NF@MAU.M,51484,2
E_NF@MAU.Q,51487,1
EADNS@HI.Q,51494,1
EAD@HI.Q,51496,1
EADNS@HON.Q,51497,1
EAD@MAU.Q,51503,1
EADESNS@HI.M,51510,1
EADESNS@HON.M,51513,2
EADESNS@HON.Q,51514,1
EADESNS@NBI.M,51517,1
EADESNS@NBI.Q,51518,1
