name,duration,start,end
reload_aremos,6599.36,2014-07-19 21:29:53 -1000,2014-07-19 23:19:52 -1000
update_vis_history_links,4.73,2014-07-20 01:00:16 -1000,2014-07-20 01:00:21 -1000
update_seat_links,9.75,2014-07-20 01:00:16 -1000,2014-07-20 01:00:26 -1000
update_bea_links,546.83,2014-07-20 04:00:12 -1000,2014-07-20 04:09:19 -1000
update_bea_links,884.21,2014-07-20 04:30:12 -1000,2014-07-20 04:44:57 -1000
bea series dependency check and load,469.23,2014-07-20 05:00:12 -1000,2014-07-20 05:08:01 -1000
write_ur_dash,373.48,2014-07-20 06:30:18 -1000,2014-07-20 06:36:31 -1000
gen_prognoz_diffs,0.24,2014-07-20 06:40:18 -1000,2014-07-20 06:40:18 -1000
gen_investigate_csv,2057.69,2014-07-20 06:30:16 -1000,2014-07-20 07:04:34 -1000
update_vis_history_links,3.85,2014-07-21 01:00:11 -1000,2014-07-21 01:00:15 -1000
update_seat_links,8.22,2014-07-21 01:00:11 -1000,2014-07-21 01:00:20 -1000
update_bea_links,824.00,2014-07-21 04:00:09 -1000,2014-07-21 04:13:53 -1000
update_bea_links,855.14,2014-07-21 04:30:09 -1000,2014-07-21 04:44:24 -1000
bea series dependency check and load,429.92,2014-07-21 05:00:09 -1000,2014-07-21 05:07:19 -1000
gen_prognoz_diffs,0.21,2014-07-21 06:40:12 -1000,2014-07-21 06:40:12 -1000
gen_investigate_csv,1663.83,2014-07-21 06:30:10 -1000,2014-07-21 06:57:54 -1000
